strategy,exit_time,equity,pnl
Union_4H_Base,2025-01-30,5495960.0,495960.0
Union_4H_Base,2025-03-13,6044583.0,548623.0
Union_4H_Base,2025-03-31,6647396.0,602813.0
Union_4H_Base,2025-04-04,6314179.0,-333217.0
Union_4H_Base,2025-04-10,6944484.0,630305.0
Union_4H_Base,2025-05-01,6596372.0,-348113.0
Union_4H_Base,2025-05-05,7253359.0,656988.0
Union_4H_Base,2025-05-11,6889299.0,-364060.0
Union_4H_Base,2025-06-12,7577293.0,687994.0
Union_4H_Base,2025-06-23,7195972.0,-381321.0
Union_4H_Base,2025-06-26,6833401.0,-362571.0
Union_4H_Base,2025-07-22,7515252.0,681851.0
Union_4H_Base,2025-09-02,8265568.0,750316.0
Union_4H_Base,2025-09-30,9091286.0,825718.0
Union_4H_Base,2025-10-14,9999523.0,908237.0
Union_4H_Base,2025-10-21,9499022.0,-500501.0
Union_4H_Base,2025-10-27,9022932.0,-476091.0
Union_4H_Base,2025-12-01,9924230.0,901298.0
Union_4H_Base,2025-12-26,10915664.0,991434.0
Union_4H_Base,2026-01-12,12005897.0,1090233.0
Union_4H_Base,2026-02-27,12258918.0,253021.0
Union_4H+VolSizer,2025-01-30,5486502.0,486502.0
Union_4H+VolSizer,2025-03-13,5886742.0,400240.0
Union_4H+VolSizer,2025-03-31,6588083.0,701341.0
Union_4H+VolSizer,2025-04-04,6465940.0,-122143.0
Union_4H+VolSizer,2025-04-10,6833223.0,367283.0
Union_4H+VolSizer,2025-05-01,6395756.0,-437467.0
Union_4H+VolSizer,2025-05-05,7234201.0,838445.0
Union_4H+VolSizer,2025-05-11,6905326.0,-328875.0
Union_4H+VolSizer,2025-06-12,7667605.0,762279.0
Union_4H+VolSizer,2025-06-23,7244518.0,-423086.0
Union_4H+VolSizer,2025-06-26,6755558.0,-488960.0
Union_4H+VolSizer,2025-07-22,7444493.0,688934.0
Union_4H+VolSizer,2025-09-02,8094722.0,650230.0
Union_4H+VolSizer,2025-09-30,8693292.0,598570.0
Union_4H+VolSizer,2025-10-14,9502307.0,809015.0
Union_4H+VolSizer,2025-10-21,9125718.0,-376588.0
Union_4H+VolSizer,2025-10-27,8880287.0,-245431.0
Union_4H+VolSizer,2025-12-01,9682520.0,802232.0
Union_4H+VolSizer,2025-12-26,10275162.0,592642.0
Union_4H+VolSizer,2026-01-12,11080669.0,805507.0
Union_4H+VolSizer,2026-02-27,11169803.0,89134.0
Union_4H+Kelly,2025-01-30,6197249.0,1197249.0
Union_4H+Kelly,2025-03-13,7690627.0,1493378.0
Union_4H+Kelly,2025-03-31,9542088.0,1851461.0
Union_4H+Kelly,2025-04-04,8387434.0,-1154654.0
Union_4H+Kelly,2025-04-10,10408586.0,2021152.0
Union_4H+Kelly,2025-05-01,9149070.0,-1259516.0
Union_4H+Kelly,2025-05-05,11348780.0,2199710.0
Union_4H+Kelly,2025-05-11,9973734.0,-1375046.0
Union_4H+Kelly,2025-06-12,12378105.0,2404371.0
Union_4H+Kelly,2025-06-23,10874377.0,-1503728.0
Union_4H+Kelly,2025-06-26,9551726.0,-1322652.0
Union_4H+Kelly,2025-07-22,11852509.0,2300783.0
Union_4H+Kelly,2025-09-02,14709095.0,2856585.0
Union_4H+Kelly,2025-09-30,18256332.0,3547237.0
Union_4H+Kelly,2025-10-14,22659087.0,4402755.0
Union_4H+Kelly,2025-10-21,19921245.0,-2737842.0
Union_4H+Kelly,2025-10-27,17511003.0,-2410242.0
Union_4H+Kelly,2025-12-01,21733545.0,4222542.0
Union_4H+Kelly,2025-12-26,26974809.0,5241264.0
Union_4H+Kelly,2026-01-12,33478603.0,6503794.0
Union_4H+Kelly,2026-02-27,35181819.0,1703215.0
MetaStrategy_4H,2025-01-28,5494586.0,494586.0
MetaStrategy_4H,2025-02-14,5371754.0,-122832.0
MetaStrategy_4H,2025-02-18,5101193.0,-270561.0
MetaStrategy_4H,2025-02-19,4841412.0,-259780.0
MetaStrategy_4H,2025-02-25,5322376.0,480963.0
MetaStrategy_4H,2025-03-18,5052764.0,-269611.0
MetaStrategy_4H,2025-04-20,4798064.0,-254700.0
MetaStrategy_4H,2025-04-30,4557272.0,-240792.0
MetaStrategy_4H,2025-05-28,5011023.0,453751.0
MetaStrategy_4H,2025-06-02,4758848.0,-252175.0
MetaStrategy_4H,2025-07-08,4518846.0,-240002.0
MetaStrategy_4H,2025-08-17,4288329.0,-230517.0
MetaStrategy_4H,2025-08-18,4067805.0,-220523.0
MetaStrategy_4H,2025-09-22,4472749.0,404943.0
MetaStrategy_4H,2025-09-23,4247525.0,-225224.0
MetaStrategy_4H,2025-09-29,4670347.0,422823.0
MetaStrategy_4H,2025-11-11,4871322.0,200975.0
MetaStrategy_4H,2025-11-11,5353696.0,482374.0
MetaStrategy_4H,2025-11-28,5888202.0,534506.0
MetaStrategy_4H,2025-12-17,6351940.0,463738.0
MetaStrategy_4H,2025-12-18,6029027.0,-322913.0
MetaStrategy_4H,2026-01-16,5726113.0,-302914.0
MetaStrategy_4H,2026-02-27,5846795.0,120682.0
