date,action,selected_pair,direction,total_score,xagusd_score,return_pct,xagusd_return_pct
2022-03-09,TRADE,XAGEUR,long,14.14,4.36,-2.295,-1.9917
2022-03-10,TRADE,XAGGBP,long,11.35,5.28,-2.8373,-4.118
2022-03-11,TRADE,XAGGBP,long,12.5,5.14,-5.0896,-5.5007
2022-03-14,TRADE,XAGJPY,long,12.67,4.28,2.5032,1.3469
2022-03-15,TRADE,XAGJPY,long,12.46,-0.2,-0.0446,-0.2707
2022-03-16,TRADE,XAGGBP,long,10.27,0.19,1.5903,2.4807
2022-03-17,TRADE,XAGJPY,long,14.03,5.19,-2.1397,-2.7322
2022-03-18,TRADE,XAGJPY,long,11.28,1.35,2.8788,0.459
2022-03-21,TRADE,XAGJPY,long,10.45,4.1,4.0456,2.4444
2022-03-22,TRADE,XAGJPY,long,11.45,2.31,5.2199,2.8531
2022-03-23,TRADE,XAGJPY,long,16.12,4.69,0.7905,0.0238
2022-03-24,TRADE,XAGJPY,long,15.3,4.16,-2.5758,-4.5714
2022-03-25,TRADE,XAGJPY,long,17.31,3.95,-1.2978,-1.9222
2022-03-28,TRADE,XAGJPY,long,14.47,0.72,-0.4217,-0.2185
2022-03-29,TRADE,XAGJPY,long,18.76,0.77,-1.8345,-0.2994
2022-03-30,TRADE,XAGJPY,long,14.2,3.32,-2.4771,-2.0675
2022-03-31,TRADE,XAGJPY,long,11.15,2.11,-1.73,-2.3606
2022-04-01,TRADE,XAGJPY,long,7.82,1.88,0.7898,-0.7589
2022-04-04,TRADE,XAGJPY,long,10.7,1.22,1.5193,0.6061
2022-04-05,TRADE,XAGJPY,long,12.79,2.32,2.2468,1.1864
2022-04-06,TRADE,XAGJPY,long,11.43,0.66,2.7408,2.1386
2022-04-07,TRADE,XAGJPY,long,14.6,-0.26,5.4812,4.0108
2022-04-08,TRADE,XAGJPY,long,15.51,-0.61,5.9542,4.839
2022-04-11,TRADE,XAGJPY,long,15.47,1.89,3.6708,2.8505
2022-04-12,TRADE,XAGJPY,long,17.66,5.6,2.5413,1.6132
2022-04-13,TRADE,XAGJPY,long,16.83,3.98,-1.1087,-2.4174
