label,dynamic_cum,xagusd_cum,improvement,total_trades,switch_pct,win_rate,sharpe,strength_weight,min_score_diff,holding_period,seasonal
sw=2.0_msd=2.0_hp=3_sf=True,220.01,231.76,-11.75,828,49.8,51.9,1.01,2.0,2.0,3,True
sw=1.0_msd=2.0_hp=3_sf=True,219.11,231.76,-12.65,828,42.6,51.3,1.01,1.0,2.0,3,True
sw=1.0_msd=1.0_hp=3_sf=True,217.06,231.76,-14.7,828,53.5,51.9,1.0,1.0,1.0,3,True
sw=1.0_msd=2.0_hp=1_sf=False,82.48,97.61,-15.12,997,38.7,52.3,0.53,1.0,2.0,1,False
sw=2.0_msd=2.0_hp=3_sf=False,226.18,242.62,-16.45,995,46.5,51.9,0.89,2.0,2.0,3,False
sw=2.0_msd=2.0_hp=5_sf=True,379.99,397.22,-17.23,826,49.8,53.0,1.36,2.0,2.0,5,True
sw=1.0_msd=2.0_hp=5_sf=True,379.89,397.22,-17.32,826,42.6,52.8,1.36,1.0,2.0,5,True
sw=1.0_msd=2.0_hp=3_sf=False,224.96,242.62,-17.66,995,38.8,51.5,0.88,1.0,2.0,3,False
sw=0.5_msd=0.5_hp=3_sf=True,214.05,231.76,-17.71,828,56.5,52.1,0.99,0.5,0.5,3,True
sw=1.0_msd=2.0_hp=1_sf=True,74.25,92.13,-17.88,830,42.5,52.9,0.55,1.0,2.0,1,True
sw=0.5_msd=0.0_hp=5_sf=True,378.81,397.22,-18.4,826,66.6,52.2,1.36,0.5,0.0,5,True
sw=1.0_msd=0.0_hp=3_sf=True,212.98,231.76,-18.78,828,63.6,52.1,0.99,1.0,0.0,3,True
sw=0.5_msd=1.0_hp=3_sf=True,212.46,231.76,-19.3,828,47.8,51.3,0.98,0.5,1.0,3,True
sw=1.0_msd=0.5_hp=3_sf=True,212.44,231.76,-19.32,828,59.2,51.9,0.98,1.0,0.5,3,True
sw=0.5_msd=1.0_hp=5_sf=True,377.47,397.22,-19.75,826,47.8,52.7,1.36,0.5,1.0,5,True
sw=0.0_msd=2.0_hp=1_sf=True,72.33,92.13,-19.8,830,28.2,52.3,0.53,0.0,2.0,1,True
sw=2.0_msd=2.0_hp=1_sf=True,71.96,92.13,-20.17,830,49.9,53.3,0.53,2.0,2.0,1,True
sw=1.0_msd=1.0_hp=5_sf=True,376.9,397.22,-20.32,826,53.5,52.7,1.36,1.0,1.0,5,True
sw=0.5_msd=0.5_hp=5_sf=True,376.6,397.22,-20.61,826,56.5,52.4,1.36,0.5,0.5,5,True
sw=2.0_msd=0.0_hp=3_sf=True,210.92,231.76,-20.84,828,61.8,51.8,0.97,2.0,0.0,3,True
sw=1.0_msd=0.0_hp=5_sf=True,376.37,397.22,-20.85,826,63.7,52.5,1.35,1.0,0.0,5,True
sw=1.0_msd=0.5_hp=5_sf=True,376.29,397.22,-20.93,826,59.2,52.7,1.35,1.0,0.5,5,True
sw=1.0_msd=0.5_hp=1_sf=True,71.07,92.13,-21.07,830,59.3,53.0,0.53,1.0,0.5,1,True
sw=2.0_msd=2.0_hp=1_sf=False,76.09,97.61,-21.52,997,46.6,52.7,0.48,2.0,2.0,1,False
sw=1.0_msd=0.5_hp=1_sf=False,75.64,97.61,-21.97,997,56.5,52.8,0.48,1.0,0.5,1,False
sw=0.5_msd=0.5_hp=1_sf=True,69.98,92.13,-22.16,830,56.6,53.1,0.52,0.5,0.5,1,True
sw=2.0_msd=0.0_hp=5_sf=True,374.7,397.22,-22.52,826,61.9,52.7,1.34,2.0,0.0,5,True
sw=1.0_msd=0.0_hp=1_sf=True,69.29,92.13,-22.84,830,63.7,53.3,0.52,1.0,0.0,1,True
sw=1.0_msd=1.0_hp=1_sf=True,69.26,92.13,-22.87,830,53.6,53.0,0.51,1.0,1.0,1,True
sw=1.0_msd=0.0_hp=1_sf=False,74.48,97.61,-23.13,997,61.6,53.0,0.48,1.0,0.0,1,False
sw=0.5_msd=1.0_hp=1_sf=True,68.93,92.13,-23.2,830,47.8,52.5,0.51,0.5,1.0,1,True
sw=0.5_msd=0.0_hp=3_sf=True,208.53,231.76,-23.23,828,66.5,51.9,0.97,0.5,0.0,3,True
sw=2.0_msd=1.0_hp=3_sf=True,208.5,231.76,-23.26,828,56.8,51.8,0.96,2.0,1.0,3,True
sw=0.0_msd=2.0_hp=1_sf=False,74.3,97.61,-23.31,997,26.0,51.8,0.47,0.0,2.0,1,False
sw=2.0_msd=0.5_hp=5_sf=True,373.69,397.22,-23.52,826,59.0,52.9,1.34,2.0,0.5,5,True
sw=2.0_msd=1.0_hp=1_sf=False,73.98,97.61,-23.63,997,53.7,52.9,0.47,2.0,1.0,1,False
sw=2.0_msd=0.5_hp=3_sf=True,208.13,231.76,-23.63,828,58.9,51.8,0.96,2.0,0.5,3,True
sw=0.5_msd=2.0_hp=1_sf=True,68.21,92.13,-23.92,830,31.7,52.5,0.5,0.5,2.0,1,True
sw=2.0_msd=1.0_hp=1_sf=True,68.04,92.13,-24.09,830,56.9,53.1,0.5,2.0,1.0,1,True
sw=0.0_msd=2.0_hp=3_sf=True,207.16,231.76,-24.6,828,28.3,51.0,0.94,0.0,2.0,3,True
