バージョン,スプレッド(pips),期間,トレード数,勝率(%),PF,総損益(pips),平均利益(pips),平均損失(pips),ケリー基準,最大DD(pips),シャープレシオ(月次),t統計量,p値,プラス月
v75,0.2,IS,219,53.4,2.93,7733.6,100.34,-39.28,0.352,329.1,8.19,4.8192,0.0,8/8
v75,0.2,OOS,373,57.4,2.49,9510.9,74.22,-40.08,0.344,455.0,6.41,5.9351,0.0,12/12
v75,0.2,ALL,592,55.9,2.66,17244.5,83.45,-39.76,0.349,455.0,7.13,7.6014,0.0,20/20
v76,0.2,IS,220,54.5,3.01,7868.2,98.15,-39.1,0.364,330.9,8.13,4.9286,0.0,8/8
v76,0.2,OOS,360,58.1,2.44,9234.9,74.82,-42.4,0.343,457.3,6.83,5.7463,0.0,12/12
v76,0.2,ALL,580,56.7,2.66,17103.0,83.33,-41.09,0.354,457.3,7.3,7.5472,0.0,20/20
v75,0.4,IS,218,53.2,2.89,7601.9,100.24,-39.48,0.348,330.5,8.0,4.7285,0.0,8/8
v75,0.4,OOS,371,57.1,2.48,9532.4,75.28,-40.43,0.341,456.3,6.49,5.9267,0.0,12/12
v75,0.4,ALL,589,55.7,2.64,17134.2,84.11,-40.06,0.346,456.3,7.15,7.5334,0.0,20/20
v76,0.4,IS,220,54.5,2.98,7800.2,97.75,-39.3,0.363,334.1,8.04,4.8888,0.0,8/8
v76,0.4,OOS,360,58.1,2.42,9121.1,74.42,-42.6,0.34,460.9,6.76,5.68,0.0,12/12
v76,0.4,ALL,580,56.7,2.63,16921.2,82.93,-41.29,0.352,460.9,7.22,7.4721,0.0,20/20
v75,0.8,IS,207,51.7,2.75,7196.3,105.71,-41.15,0.329,410.3,6.14,4.4335,0.0,7/8
v75,0.8,OOS,372,55.1,2.37,9267.4,78.22,-40.52,0.319,523.9,6.06,5.6999,0.0,12/12
v75,0.8,ALL,579,53.9,2.51,16463.7,87.65,-40.76,0.324,523.9,6.19,7.1647,0.0,19/20
v76,0.8,IS,220,54.5,2.93,7664.2,96.95,-39.7,0.359,340.5,7.84,4.8093,0.0,8/8
v76,0.8,OOS,360,58.1,2.37,8893.5,73.62,-43.0,0.336,468.1,6.63,5.5471,0.0,12/12
v76,0.8,ALL,580,56.7,2.58,16557.6,82.13,-41.69,0.348,468.1,7.07,7.3216,0.0,20/20
v75,1.5,IS,231,52.8,2.65,7477.8,98.37,-41.49,0.329,338.2,7.19,4.6098,0.0,8/8
v75,1.5,OOS,367,53.7,2.29,9026.1,81.25,-41.06,0.303,638.9,5.6,5.5311,0.0,12/12
v75,1.5,ALL,598,53.3,2.43,16503.9,87.8,-41.23,0.314,638.9,6.26,7.1734,0.0,20/20
v76,1.5,IS,220,54.5,2.84,7426.2,95.55,-40.4,0.353,351.7,7.51,4.6695,0.0,8/8
v76,1.5,OOS,360,58.1,2.29,8495.2,72.22,-43.7,0.327,484.7,6.39,5.3135,0.0,12/12
v76,1.5,ALL,580,56.7,2.5,15921.3,80.73,-42.39,0.34,484.7,6.79,7.0573,0.0,20/20
