entry_time,exit_time,dir,pnl,result,exit_type,month,period,pair
2024-07-03 04:00:00+00:00,2024-07-03 17:00:00+00:00,1,21.12232142857522,win,HALF+SL,2024-07,IS,USDJPY
2024-07-03 22:00:00+00:00,2024-07-04 03:54:00+00:00,1,-22.960178571429424,loss,SL,2024-07,IS,USDJPY
2024-07-04 08:00:00+00:00,2024-07-04 11:05:00+00:00,-1,33.93500000000245,win,HALF+TP,2024-07,IS,USDJPY
2024-07-04 12:00:00+00:00,2024-07-05 16:52:00+00:00,-1,36.98517857143031,win,HALF+SL,2024-07,IS,USDJPY
2024-07-05 18:00:00+00:00,2024-07-08 11:39:00+00:00,-1,40.484107142859216,win,HALF+SL,2024-07,IS,USDJPY
2024-07-08 13:00:00+00:00,2024-07-08 14:45:00+00:00,-1,10.04375000000266,win,HALF+SL,2024-07,IS,USDJPY
2024-07-08 16:00:00+00:00,2024-07-09 17:04:00+00:00,-1,-49.450178571424885,loss,SL,2024-07,IS,USDJPY
2024-07-09 20:00:00+00:00,2024-07-11 15:30:00+00:00,1,47.67303571428556,win,HALF+SL,2024-07,IS,USDJPY
2024-07-11 20:00:00+00:00,2024-07-11 20:02:00+00:00,-1,-14.808392857139552,loss,SL,2024-07,IS,USDJPY
2024-07-11 22:00:00+00:00,2024-07-12 01:01:00+00:00,-1,-23.06803571428304,loss,SL,2024-07,IS,USDJPY
2024-07-12 03:00:00+00:00,2024-07-24 06:03:00+00:00,-1,441.5350000000132,win,HALF+TP,2024-07,IS,USDJPY
2024-07-24 08:00:00+00:00,2024-07-26 13:52:00+00:00,-1,145.8941071428569,win,HALF+SL,2024-07,IS,USDJPY
2024-07-26 16:00:00+00:00,2024-07-29 03:02:00+00:00,-1,58.0998214285728,win,HALF+SL,2024-07,IS,USDJPY
2024-07-29 08:00:00+00:00,2024-07-29 11:08:00+00:00,-1,-33.00571428571857,loss,SL,2024-07,IS,USDJPY
2024-07-29 18:00:00+00:00,2024-07-30 03:53:00+00:00,-1,20.818571428574728,win,HALF+SL,2024-07,IS,USDJPY
2024-07-30 07:00:00+00:00,2024-07-30 08:00:00+00:00,1,52.85687499999483,win,HALF+TP,2024-07,IS,USDJPY
2024-07-30 13:00:00+00:00,2024-07-30 16:13:00+00:00,1,-25.300892857143253,loss,SL,2024-07,IS,USDJPY
2024-07-30 17:00:00+00:00,2024-07-31 01:04:00+00:00,-1,252.385000000001,win,HALF+TP,2024-07,IS,USDJPY
2024-07-31 08:00:00+00:00,2024-08-01 04:20:00+00:00,-1,509.2781250000115,win,HALF+TP,2024-07,IS,USDJPY
2024-08-01 07:00:00+00:00,2024-08-01 08:13:00+00:00,-1,-31.37678571428353,loss,SL,2024-08,IS,USDJPY
2024-08-01 11:00:00+00:00,2024-08-01 14:14:00+00:00,-1,-56.78285714285494,loss,SL,2024-08,IS,USDJPY
2024-08-01 17:00:00+00:00,2024-08-01 22:07:00+00:00,-1,146.03062500001158,win,HALF+TP,2024-08,IS,USDJPY
2024-08-02 00:00:00+00:00,2024-08-02 15:30:00+00:00,-1,182.6562499999966,win,HALF+TP,2024-08,IS,USDJPY
2024-08-02 16:00:00+00:00,2024-08-05 07:26:00+00:00,-1,731.16500000001,win,HALF+TP,2024-08,IS,USDJPY
2024-08-05 21:00:00+00:00,2024-08-06 02:02:00+00:00,-1,-103.45571428571247,loss,SL,2024-08,IS,USDJPY
2024-08-06 10:00:00+00:00,2024-08-07 04:36:00+00:00,-1,77.66875000000084,win,HALF+SL,2024-08,IS,USDJPY
2024-08-07 05:00:00+00:00,2024-08-19 06:20:00+00:00,1,228.7637499999988,win,HALF+SL,2024-08,IS,USDJPY
2024-08-19 08:00:00+00:00,2024-08-30 19:52:00+00:00,-1,197.40535714286125,win,HALF+SL,2024-08,IS,USDJPY
2024-08-30 23:00:00+00:00,2024-09-02 03:43:00+00:00,1,16.40999999999906,win,HALF+SL,2024-08,IS,USDJPY
2024-09-02 04:00:00+00:00,2024-09-02 05:50:00+00:00,1,-21.952142857139734,loss,SL,2024-09,IS,USDJPY
