entry_time,exit_time,dir,pnl,result,exit_type,month
2025-01-01 00:00:00+00:00,2025-01-02 01:45:00+00:00,-1,-38.0042857142854,loss,SL,2025-01
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,1,-17.958214285710028,loss,SL,2025-01
2025-01-03 12:00:00+00:00,2025-01-03 16:00:00+00:00,-1,21.288214285715412,win,HALF+SL,2025-01
2025-01-06 12:00:00+00:00,2025-01-06 12:15:00+00:00,-1,-12.873571428573882,loss,SL,2025-01
2025-01-07 15:00:00+00:00,2025-01-07 18:30:00+00:00,1,39.49464285714157,win,HALF+SL,2025-01
2025-01-09 10:00:00+00:00,2025-01-09 14:00:00+00:00,1,-45.34821428571547,loss,SL,2025-01
2025-01-10 01:00:00+00:00,2025-01-10 15:30:00+00:00,1,58.067857142859225,win,HALF+SL,2025-01
2025-01-14 02:00:00+00:00,2025-01-14 03:30:00+00:00,-1,-54.52107142857017,loss,SL,2025-01
2025-01-15 04:00:00+00:00,2025-01-15 09:00:00+00:00,-1,94.3342857142909,win,HALF+TP,2025-01
2025-01-17 10:00:00+00:00,2025-01-17 11:00:00+00:00,-1,18.621964285713943,win,HALF+SL,2025-01
2025-01-17 14:00:00+00:00,2025-01-17 16:15:00+00:00,-1,-18.21178571428561,loss,SL,2025-01
2025-01-20 14:00:00+00:00,2025-01-20 15:30:00+00:00,-1,26.067142857144177,win,HALF+SL,2025-01
2025-01-21 02:00:00+00:00,2025-01-22 17:30:00+00:00,-1,-100.09785714285897,loss,SL,2025-01
2025-01-24 00:00:00+00:00,2025-01-24 05:30:00+00:00,1,-36.07142857142662,loss,SL,2025-01
2025-01-24 16:00:00+00:00,2025-01-24 17:00:00+00:00,-1,29.272142857146832,win,HALF+SL,2025-01
2025-01-24 20:00:00+00:00,2025-01-28 06:00:00+00:00,-1,88.35892857143222,win,HALF+SL,2025-01
2025-01-28 11:00:00+00:00,2025-01-28 17:45:00+00:00,-1,26.68250000000114,win,HALF+SL,2025-01
2025-01-29 15:00:00+00:00,2025-01-29 16:45:00+00:00,-1,17.58321428571321,win,HALF+SL,2025-01
2025-01-31 09:00:00+00:00,2025-01-31 15:30:00+00:00,-1,-27.87357142857161,loss,SL,2025-01
2025-01-31 17:00:00+00:00,2025-01-31 20:15:00+00:00,-1,-43.101428571426936,loss,SL,2025-01
2025-02-07 15:00:00+00:00,2025-02-07 15:30:00+00:00,-1,43.95857142857267,win,HALF+SL,2025-02
