シナリオ,期間,トレード数,勝率(%),PF,総損益(pips),平均利益(pips),平均損失(pips),ケリー基準,t統計量,p値,プラス月
修正後(正規),IS,220,54.5,2.98,7800.2,97.75,-39.3,0.363,4.8888,0.0,8/8
修正後(正規),OOS,360,58.1,2.42,9121.1,74.42,-42.6,0.34,5.68,0.0,12/12
修正後(正規),ALL,580,56.7,2.63,16921.2,82.93,-41.29,0.352,7.4721,0.0,20/20
月末重複バグ,IS,223,54.3,2.88,7623.6,96.44,-39.66,0.355,4.7891,0.0,8/8
月末重複バグ,OOS,378,57.4,2.32,9090.3,73.64,-42.8,0.327,5.5908,0.0,12/12
月末重複バグ,ALL,601,56.2,2.53,16713.9,81.8,-41.58,0.34,7.342,0.0,20/20
27カラムバグ,IS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0/0
27カラムバグ,OOS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0/0
27カラムバグ,ALL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0/0
両方バグ,IS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0/0
両方バグ,OOS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0/0
両方バグ,ALL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0/0
