entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-01-06 04:00:00+00:00,2025-01-06 11:04:00+00:00,1,96.16249999999695,win,HALF+TP,2025-01,EURJPY
2025-01-06 12:00:00+00:00,2025-01-07 22:01:00+00:00,1,92.53946428571567,win,HALF+SL,2025-01,EURJPY
2025-01-08 01:00:00+00:00,2025-01-08 02:28:00+00:00,1,17.09767857143163,win,HALF+SL,2025-01,EURJPY
2025-01-08 03:00:00+00:00,2025-01-08 09:12:00+00:00,1,-32.368750000000546,loss,SL,2025-01,EURJPY
2025-01-08 12:00:00+00:00,2025-01-10 18:02:00+00:00,-1,239.42749999999933,win,HALF+TP,2025-01,EURJPY
2025-01-10 23:00:00+00:00,2025-01-13 03:37:00+00:00,-1,53.103750000005334,win,HALF+TP,2025-01,EURJPY
2025-01-13 04:00:00+00:00,2025-01-13 23:48:00+00:00,-1,59.509642857145195,win,HALF+SL,2025-01,EURJPY
2025-01-14 08:00:00+00:00,2025-01-14 11:15:00+00:00,1,72.71562500000357,win,HALF+TP,2025-01,EURJPY
2025-01-14 13:00:00+00:00,2025-01-14 16:27:00+00:00,-1,23.10428571428531,win,HALF+SL,2025-01,EURJPY
2025-01-14 20:00:00+00:00,2025-01-15 16:08:00+00:00,1,-123.33464285714228,loss,SL,2025-01,EURJPY
2025-01-15 20:00:00+00:00,2025-01-20 08:54:00+00:00,-1,98.93678571428666,win,HALF+SL,2025-01,EURJPY
2025-01-20 11:00:00+00:00,2025-01-20 13:11:00+00:00,1,60.82749999999919,win,HALF+TP,2025-01,EURJPY
2025-01-20 16:00:00+00:00,2025-01-21 03:47:00+00:00,1,-69.2537499999986,loss,SL,2025-01,EURJPY
2025-01-21 06:00:00+00:00,2025-01-21 10:40:00+00:00,1,27.91089285714179,win,HALF+SL,2025-01,EURJPY
2025-01-21 12:00:00+00:00,2025-01-21 19:01:00+00:00,1,93.19312499999057,win,HALF+TP,2025-01,EURJPY
2025-01-21 20:00:00+00:00,2025-01-24 06:16:00+00:00,1,95.60696428571305,win,HALF+SL,2025-01,EURJPY
2025-01-24 09:00:00+00:00,2025-01-24 12:32:00+00:00,1,148.4287499999965,win,HALF+TP,2025-01,EURJPY
2025-01-24 17:00:00+00:00,2025-01-27 00:00:00+00:00,1,-55.25607142857325,loss,SL,2025-01,EURJPY
2025-01-27 02:00:00+00:00,2025-01-27 08:14:00+00:00,-1,-42.64696428571142,loss,SL,2025-01,EURJPY
