month,trades,wins,pnl,avg_pnl,period,win_rate
2024-07,19,13,1502.5,79.08,IS,68.4
2024-08,10,7,1391.4,139.14,IS,70.0
2024-09,12,8,725.9,60.49,IS,66.7
2024-10,42,17,997.9,23.76,IS,40.5
2024-11,35,21,939.5,26.84,IS,60.0
2024-12,25,14,1055.8,42.23,IS,56.0
2025-01,38,17,133.4,3.51,IS,44.7
2025-02,40,24,1135.5,28.39,IS,60.0
2025-03,31,15,84.3,2.72,OOS,48.4
2025-04,27,14,848.4,31.42,OOS,51.9
2025-05,40,25,1014.3,25.36,OOS,62.5
2025-06,27,21,1119.6,41.47,OOS,77.8
2025-07,19,12,973.2,51.22,OOS,63.2
2025-08,11,5,133.5,12.13,OOS,45.5
2025-09,33,16,307.0,9.3,OOS,48.5
2025-10,39,21,1061.9,27.23,OOS,53.8
2025-11,41,26,680.9,16.61,OOS,63.4
2025-12,35,21,704.9,20.14,OOS,60.0
2026-01,31,17,1326.3,42.78,OOS,54.8
2026-02,27,16,822.1,30.45,OOS,59.3
