entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-01-06 04:00:00+00:00,2025-01-06 15:28:00+00:00,1,93.02089285714317,win,HALF+SL,2025-01,GBPJPY
2025-01-06 17:00:00+00:00,2025-01-08 11:05:00+00:00,1,97.64446428572171,win,HALF+SL,2025-01,GBPJPY
2025-01-08 12:00:00+00:00,2025-01-09 05:56:00+00:00,-1,263.7312500000064,win,HALF+TP,2025-01,GBPJPY
2025-01-09 06:00:00+00:00,2025-01-09 09:44:00+00:00,-1,170.84250000000907,win,HALF+TP,2025-01,GBPJPY
2025-01-09 12:00:00+00:00,2025-01-09 12:56:00+00:00,-1,38.068928571431115,win,HALF+SL,2025-01,GBPJPY
2025-01-09 14:00:00+00:00,2025-01-09 15:13:00+00:00,-1,21.325000000001637,win,HALF+SL,2025-01,GBPJPY
2025-01-10 00:00:00+00:00,2025-01-10 02:06:00+00:00,-1,13.02892857143263,win,HALF+SL,2025-01,GBPJPY
2025-01-10 03:00:00+00:00,2025-01-10 04:32:00+00:00,-1,-44.008571428568644,loss,SL,2025-01,GBPJPY
2025-01-10 06:00:00+00:00,2025-01-10 09:21:00+00:00,-1,14.281428571430865,win,HALF+SL,2025-01,GBPJPY
2025-01-10 11:00:00+00:00,2025-01-13 03:46:00+00:00,-1,295.3481249999953,win,HALF+TP,2025-01,GBPJPY
2025-01-13 04:00:00+00:00,2025-01-13 21:41:00+00:00,-1,106.2410714285761,win,HALF+SL,2025-01,GBPJPY
2025-01-13 23:00:00+00:00,2025-01-13 23:49:00+00:00,-1,-19.964464285709482,loss,SL,2025-01,GBPJPY
2025-01-14 12:00:00+00:00,2025-01-14 17:16:00+00:00,-1,47.913035714287844,win,HALF+SL,2025-01,GBPJPY
2025-01-14 19:00:00+00:00,2025-01-14 20:56:00+00:00,-1,-46.98553571428761,loss,SL,2025-01,GBPJPY
2025-01-14 23:00:00+00:00,2025-01-15 06:23:00+00:00,1,-33.295535714287894,loss,SL,2025-01,GBPJPY
2025-01-15 07:00:00+00:00,2025-01-15 15:30:00+00:00,-1,39.67642857143119,win,HALF+SL,2025-01,GBPJPY
2025-01-15 17:00:00+00:00,2025-01-16 04:02:00+00:00,-1,260.3968750000064,win,HALF+TP,2025-01,GBPJPY
2025-01-16 11:00:00+00:00,2025-01-17 16:42:00+00:00,-1,67.35642857143205,win,HALF+SL,2025-01,GBPJPY
2025-01-17 19:00:00+00:00,2025-01-20 00:37:00+00:00,-1,28.80285714285833,win,HALF+SL,2025-01,GBPJPY
