entry_time,exit_time,dir,pnl,result,exit_type,month
2025-03-05 00:00:00+00:00,2025-03-05 15:51:00+00:00,1,-79.96285714285705,loss,SL,2025-03
2025-03-05 16:00:00+00:00,2025-03-10 17:41:00+00:00,-1,322.1868750000027,win,HALF+TP,2025-03
2025-03-10 21:00:00+00:00,2025-03-10 21:18:00+00:00,-1,-18.59464285713841,loss,SL,2025-03
2025-03-11 01:00:00+00:00,2025-03-11 03:52:00+00:00,-1,86.12437499999999,win,HALF+TP,2025-03
2025-03-11 04:00:00+00:00,2025-03-11 13:21:00+00:00,-1,-82.03160714285787,loss,SL,2025-03
2025-03-11 15:00:00+00:00,2025-03-11 17:02:00+00:00,1,27.795892857145077,win,HALF+SL,2025-03
2025-03-11 18:00:00+00:00,2025-03-12 07:08:00+00:00,-1,-82.77321428571156,loss,SL,2025-03
2025-03-12 08:00:00+00:00,2025-03-12 15:30:00+00:00,1,59.39589285714533,win,HALF+SL,2025-03
2025-03-12 16:00:00+00:00,2025-03-13 07:37:00+00:00,1,-127.97928571428372,loss,SL,2025-03
2025-03-13 08:00:00+00:00,2025-03-14 07:17:00+00:00,-1,-62.27839285714083,loss,SL,2025-03
2025-03-14 10:00:00+00:00,2025-03-14 11:00:00+00:00,1,30.52267857142965,win,HALF+SL,2025-03
2025-03-14 17:00:00+00:00,2025-03-14 17:08:00+00:00,1,19.111071428574178,win,HALF+SL,2025-03
2025-03-14 19:00:00+00:00,2025-03-14 19:14:00+00:00,1,-21.195892857144827,loss,SL,2025-03
2025-03-14 21:00:00+00:00,2025-03-17 07:55:00+00:00,1,76.04312499999253,win,HALF+TP,2025-03
2025-03-17 08:00:00+00:00,2025-03-17 15:30:00+00:00,1,-65.22857142856822,loss,SL,2025-03
2025-03-17 20:00:00+00:00,2025-03-18 05:44:00+00:00,1,115.57874999999456,win,HALF+TP,2025-03
2025-03-18 06:00:00+00:00,2025-03-18 19:48:00+00:00,1,-34.34267857143141,loss,SL,2025-03
2025-03-18 23:00:00+00:00,2025-03-19 05:25:00+00:00,1,21.400178571428796,win,HALF+SL,2025-03
2025-03-19 08:00:00+00:00,2025-03-19 10:01:00+00:00,1,25.620357142858552,win,HALF+SL,2025-03
2025-03-19 12:00:00+00:00,2025-03-19 21:39:00+00:00,1,-56.53053571427904,loss,SL,2025-03
2025-03-20 00:00:00+00:00,2025-03-24 16:58:00+00:00,-1,-154.09803571428426,loss,SL,2025-03
2025-03-24 17:00:00+00:00,2025-03-25 13:43:00+00:00,1,55.875892857145004,win,HALF+SL,2025-03
2025-03-25 16:00:00+00:00,2025-03-27 12:27:00+00:00,-1,-86.53500000000065,loss,SL,2025-03
2025-03-27 15:00:00+00:00,2025-03-27 15:20:00+00:00,1,-24.29464285714289,loss,SL,2025-03
2025-03-27 20:00:00+00:00,2025-03-28 10:27:00+00:00,1,-49.47874999999726,loss,SL,2025-03
2025-03-28 12:00:00+00:00,2025-03-28 16:04:00+00:00,1,19.383392857145054,win,HALF+SL,2025-03
2025-03-28 20:00:00+00:00,2025-03-31 02:05:00+00:00,-1,97.94562500000836,win,HALF+TP,2025-03
2025-03-31 04:00:00+00:00,2025-03-31 18:46:00+00:00,-1,-62.33607142856954,loss,SL,2025-03
2025-03-31 20:00:00+00:00,2025-04-01 14:10:00+00:00,1,-57.17553571428482,loss,SL,2025-03
2025-04-01 18:00:00+00:00,2025-04-01 19:13:00+00:00,-1,-30.602142857139825,loss,SL,2025-04
2025-04-02 01:00:00+00:00,2025-04-02 10:13:00+00:00,1,15.105178571431566,win,HALF+SL,2025-04
2025-04-02 12:00:00+00:00,2025-04-02 17:03:00+00:00,-1,41.27678571428817,win,HALF+SL,2025-04
2025-04-02 21:00:00+00:00,2025-04-02 23:13:00+00:00,-1,14.690535714285602,win,HALF+SL,2025-04
2025-04-03 07:00:00+00:00,2025-04-03 16:21:00+00:00,-1,241.76249999999015,win,HALF+TP,2025-04
2025-04-03 18:00:00+00:00,2025-04-03 18:40:00+00:00,-1,-74.69821428571493,loss,SL,2025-04
2025-04-03 21:00:00+00:00,2025-04-03 22:14:00+00:00,-1,-43.03232142857212,loss,SL,2025-04
2025-04-03 23:00:00+00:00,2025-04-04 02:49:00+00:00,-1,34.15910714285815,win,HALF+SL,2025-04
2025-04-04 04:00:00+00:00,2025-04-04 18:01:00+00:00,-1,68.24000000000012,win,HALF+SL,2025-04
2025-04-04 22:00:00+00:00,2025-04-07 01:02:00+00:00,-1,224.14187500000082,win,HALF+TP,2025-04
2025-04-07 02:00:00+00:00,2025-04-07 03:57:00+00:00,-1,-62.215892857139465,loss,SL,2025-04
2025-04-07 08:00:00+00:00,2025-04-07 15:27:00+00:00,-1,-84.26732142857531,loss,SL,2025-04
2025-04-07 17:00:00+00:00,2025-04-07 17:23:00+00:00,1,76.69178571428859,win,HALF+SL,2025-04
2025-04-07 21:00:00+00:00,2025-04-07 22:13:00+00:00,1,-35.15035714285375,loss,SL,2025-04
2025-04-08 02:00:00+00:00,2025-04-08 03:00:00+00:00,1,-24.96964285714114,loss,SL,2025-04
2025-04-08 07:00:00+00:00,2025-04-08 10:00:00+00:00,1,-40.72232142856649,loss,SL,2025-04
