label,n,winrate,pf,return_pct,return_abs,mdd_pct,kelly,monthly_plus,pair,period,spread
USDJPY_IS,476,21.428571428571427,0.9677545660655003,10.99999999999944,109999.99999999441,45.15050167224101,-0.597608451100333,3/8,USDJPY,IS,1.4
USDJPY_OOS,768,19.791666666666664,0.9726784750263809,34.99999999999962,349999.9999999963,51.25348189415047,-0.6266963518455189,7/12,USDJPY,OOS,1.4
EURUSD_IS,546,23.626373626373624,1.306601032333335,211.50000000000026,2115000.0000000023,14.009661835748721,-0.34825766302857825,5/8,EURUSD,IS,1.4
EURUSD_OOS,927,22.653721682847898,1.1198256705889815,176.99999999999926,1769999.9999999925,33.609958506224054,-0.46416206207330934,9/12,EURUSD,OOS,1.4
GBPUSD_IS,609,25.615763546798032,1.2465244862213498,238.99999999999966,2389999.9999999967,19.020172910662872,-0.3405754193209113,6/8,GBPUSD,IS,2.0
GBPUSD_OOS,918,22.657952069716774,1.1956284078266781,174.99999999999994,1749999.9999999995,33.898305084745914,-0.4202941017761364,9/12,GBPUSD,OOS,2.0
AUDUSD_IS,555,25.765765765765764,1.6111116551375508,328.5000000000001,3285000.000000001,20.253164556962062,-0.20310639924376417,8/8,AUDUSD,IS,1.4
AUDUSD_OOS,871,21.92881745120551,1.239422781405942,202.4999999999995,2024999.9999999949,46.863468634686285,-0.4106113538815917,8/12,AUDUSD,OOS,1.4
USDCAD_IS,686,28.279883381924197,1.5515954539512995,313.99999999999983,3139999.999999998,23.0,-0.17943580624388178,8/8,USDCAD,IS,2.2
USDCAD_OOS,953,24.658971668415532,1.2813861106896154,318.49999999999994,3184999.999999999,17.096774193548377,-0.34137536037632177,10/12,USDCAD,OOS,2.2
USDCHF_IS,615,20.650406504065042,1.0119561109380957,106.49999999999953,1064999.9999999953,29.444444444444546,-0.5776168334672593,6/8,USDCHF,IS,1.8
USDCHF_OOS,902,21.396895787139687,1.1214931923806464,115.50000000000051,1155000.0000000051,43.47826086956514,-0.48691005545552124,8/12,USDCHF,OOS,1.8
NZDUSD_IS,607,25.205930807248766,1.2424310156051523,225.4999999999995,2254999.999999995,21.782178217821816,-0.3499384548079021,7/8,NZDUSD,IS,1.7
NZDUSD_OOS,853,21.219226260257916,1.24046795183492,203.5000000000005,2035000.0000000051,21.72619047619044,-0.42289688761051825,11/12,NZDUSD,OOS,1.7
EURJPY_IS,490,26.53061224489796,1.6037650076798469,239.00000000000023,2390000.0000000023,20.46632124352333,-0.1927995688666675,6/8,EURJPY,IS,1.8
EURJPY_OOS,831,22.623345367027678,1.1085529153675115,245.00000000000054,2450000.0000000056,43.921568627450945,-0.47176348955475744,10/12,EURJPY,OOS,1.8
GBPJPY_IS,464,26.07758620689655,1.308336853865779,185.49999999999991,1854999.999999999,12.404580152671787,-0.30423469751806176,6/8,GBPJPY,IS,3.1
GBPJPY_OOS,859,21.303841676367867,1.0582103929607192,146.49999999999977,1464999.9999999977,39.79057591623037,-0.5306337192040251,9/12,GBPJPY,OOS,3.1
EURGBP_IS,581,18.416523235800344,0.8499218963258832,-39.49999999999964,-394999.9999999964,65.46052631578922,-0.7757285780835895,2/8,EURGBP,IS,1.7
EURGBP_OOS,882,17.46031746031746,0.8508768504390407,-35.0,-350000.0,66.30136986301366,-0.7954512169000518,5/12,EURGBP,OOS,1.7
US30_IS,458,27.729257641921397,1.6363553137017082,285.5000000000005,2855000.0000000047,12.844036697247708,-0.164364206511323,8/8,US30,IS,3.0
US30_OOS,616,24.675324675324674,1.3656710110074513,219.0,2190000.0,14.536741214057539,-0.3048047398888549,9/11,US30,OOS,3.0
SPX500_IS,470,30.638297872340424,2.0998796514552334,319.99999999999943,3199999.9999999944,13.381555153707069,-0.023929770769602954,7/8,SPX500,IS,0.5
SPX500_OOS,612,24.509803921568626,1.557303311220072,330.0,3300000.0,7.500000000000005,-0.2396514346635444,12/12,SPX500,OOS,0.5
