label,n,wr,pf,mdd_pct,kelly,monthly_plus,n_4h,n_1h,pair,period,version
XAUUSD_IS_buggy,98,41.83673469387755,4.660841892793007,6.926673071001266,0.2935760181531768,2/2,12,86,XAUUSD,IS,buggy
XAUUSD_IS_fixed,86,36.04651162790697,3.2320928686215935,6.9276461854652,0.16259490966162318,2/2,11,75,XAUUSD,IS,fixed
XAUUSD_OOS_buggy,629,35.77106518282989,2.7270228163641352,17.230426330725752,0.12218297515559398,12/12,122,507,XAUUSD,OOS,buggy
XAUUSD_OOS_fixed,615,31.70731707317073,1.903783413423022,16.57611794445621,-0.041647692394410185,12/12,67,548,XAUUSD,OOS,fixed
AUDUSD_IS_buggy,199,33.165829145728644,3.2201632348903577,11.119195768819374,0.12410927614612016,2/2,55,144,AUDUSD,IS,buggy
AUDUSD_IS_fixed,181,30.386740331491712,2.7885076979290844,11.442514353502082,0.05422398393254521,2/2,34,147,AUDUSD,IS,fixed
AUDUSD_OOS_buggy,1290,29.612403100775193,2.2441552502683657,28.656764782336158,-0.01752448725232636,12/12,371,919,AUDUSD,OOS,buggy
AUDUSD_OOS_fixed,1213,27.535037098103878,1.8919661641174736,26.45057626807325,-0.10766368221001354,12/12,216,997,AUDUSD,OOS,fixed
EURUSD_IS_buggy,184,23.91304347826087,1.4905001200508265,16.346098104046668,-0.2713489371958689,2/2,50,134,EURUSD,IS,buggy
EURUSD_IS_fixed,163,20.858895705521473,1.154347281087939,17.97095783600314,-0.47700285392813446,1/2,29,134,EURUSD,IS,fixed
EURUSD_OOS_buggy,1417,28.440366972477065,1.8973468399420466,21.116770779974743,-0.09275263886933266,12/12,413,1004,EURUSD,OOS,buggy
EURUSD_OOS_fixed,1308,27.06422018348624,1.6895366132209464,22.38875833902696,-0.1610488266150532,12/12,234,1074,EURUSD,OOS,fixed
GBPUSD_IS_buggy,193,31.606217616580313,2.433667427496993,7.878897422526151,0.035030422974439035,2/2,53,140,GBPUSD,IS,buggy
GBPUSD_IS_fixed,170,30.0,2.0688937340823492,9.70611911525845,-0.03834507228109646,2/2,27,143,GBPUSD,IS,fixed
GBPUSD_OOS_buggy,1353,31.116038433111605,1.814768835863475,16.742399852269273,-0.06841391849799938,12/12,375,978,GBPUSD,OOS,buggy
GBPUSD_OOS_fixed,1259,28.832406671961873,1.6118135582865194,18.56115143314929,-0.15321331185718573,12/12,228,1031,GBPUSD,OOS,fixed
NAS100_IS_buggy,109,23.853211009174313,0.9758295810824644,34.8786296002241,-0.5417966529117095,1/2,3,106,NAS100,IS,buggy
NAS100_IS_fixed,114,21.052631578947366,0.8335290991469966,43.768063612841274,-0.7366196027134857,1/2,4,110,NAS100,IS,fixed
NAS100_OOS_buggy,598,25.75250836120401,0.9495297848441442,78.64162405019282,-0.5244144913638302,5/11,71,527,NAS100,OOS,buggy
NAS100_OOS_fixed,572,23.95104895104895,0.8890893142658078,88.24173117099525,-0.6158473449467917,3/11,28,544,NAS100,OOS,fixed
SPX500_IS_buggy,252,30.952380952380953,1.9761055443669817,13.49428776915748,-0.03988879773516918,2/2,153,99,SPX500,IS,buggy
SPX500_IS_fixed,212,25.943396226415093,1.7168878333112048,15.681880469538203,-0.1719081576852851,2/2,91,121,SPX500,IS,fixed
SPX500_OOS_buggy,954,20.335429769392032,1.0147327068384167,67.14037449026556,-0.581725060581791,6/11,283,671,SPX500,OOS,buggy
SPX500_OOS_fixed,889,18.560179977502813,0.9275274956800678,81.71679542594184,-0.6924295297736999,5/11,176,713,SPX500,OOS,fixed
US30_IS_buggy,266,28.195488721804512,1.5849524344331773,15.716362923930774,-0.17108401614737206,2/3,160,106,US30,IS,buggy
US30_IS_fixed,225,26.222222222222225,1.490084105188242,14.934682876415406,-0.23290270073276387,3/3,91,134,US30,IS,fixed
US30_OOS_buggy,932,21.566523605150216,1.0008894294784283,76.28248404419851,-0.5679725373609128,7/11,289,643,US30,OOS,buggy
US30_OOS_fixed,836,21.770334928229666,0.9743067768761036,70.28421557528215,-0.5852230690537867,7/11,155,681,US30,OOS,fixed
