label,n,winrate,pf,return_pct,return_abs,mdd_pct,kelly,monthly_plus,pair,mode,period,spread
EURUSD_1H_IS,141,24.822695035460992,1.2242397356652024,43.210243784674,432102.43784674,18.418947413729136,-0.3658464437236397,1/2,EURUSD,1H,IS,0.0
EURUSD_1H_OOS,1117,27.752909579230078,1.8562153141827817,80610.20279347026,806102027.9347026,22.671082031148714,-0.11168809183001693,12/12,EURUSD,1H,OOS,0.0
EURUSD_4H_IS,29,10.344827586206897,1.126800453223399,3.0691011712848675,30691.011712848675,9.662508892007509,-0.6922132111147924,1/2,EURUSD,4H,IS,0.0
EURUSD_4H_OOS,234,23.931623931623932,1.1975327635494841,46.34616013504169,463461.6013504169,17.547045461290047,-0.39589290388005693,8/12,EURUSD,4H,OOS,0.0
EURUSD_Hybrid_IS,162,22.839506172839506,1.2194461096092188,50.06997108442125,500699.71084421244,16.271609777176437,-0.40435527647135683,1/2,EURUSD,Hybrid,IS,0.0
EURUSD_Hybrid_OOS,1299,27.48267898383372,1.7536864853224865,123638.62901835241,1236386290.1835241,22.388758339027007,-0.1386868092177166,12/12,EURUSD,Hybrid,OOS,0.0
GBPUSD_1H_IS,146,33.56164383561644,2.167663533150288,250.4688924407568,2504688.9244075683,9.706119115258426,0.029118888582708502,2/2,GBPUSD,1H,IS,0.1
GBPUSD_1H_OOS,1097,28.80583409298086,1.8423267724162664,149457.13010263597,1494571301.0263598,17.212630278681285,-0.09837780586539802,12/12,GBPUSD,1H,OOS,0.1
GBPUSD_4H_IS,27,18.51851851851852,1.9967423246663525,17.23843641808431,172384.3641808431,4.958587845140156,-0.22288690541417,2/2,GBPUSD,4H,IS,0.1
GBPUSD_4H_OOS,226,26.10619469026549,1.225538834256806,62.48922091685112,624892.2091685112,15.779283100402058,-0.3418875741098339,8/12,GBPUSD,4H,OOS,0.1
GBPUSD_Hybrid_IS,169,31.952662721893493,2.127583998857986,306.9582159952153,3069582.1599521535,9.706119115258437,-0.00030721865804089754,2/2,GBPUSD,Hybrid,IS,0.1
GBPUSD_Hybrid_OOS,1254,29.106858054226475,1.738253400998937,245054.6063565212,2450546063.5652122,18.5611514331493,-0.11677265770891743,12/12,GBPUSD,Hybrid,OOS,0.1
AUDUSD_1H_IS,155,27.741935483870968,2.4136267472794266,234.22981811116395,2342298.1811116394,14.07293471923966,-0.021956116524359748,2/2,AUDUSD,1H,IS,0.0
AUDUSD_1H_OOS,1055,28.436018957345972,1.9484848724524775,55150.76216503284,551507621.6503284,21.673218929902387,-0.08291995744959313,12/12,AUDUSD,1H,OOS,0.0
AUDUSD_4H_IS,33,21.21212121212121,1.7417067718135926,18.27416424779454,182741.64247794542,10.583951301309009,-0.2402389673471095,2/2,AUDUSD,4H,IS,0.0
AUDUSD_4H_OOS,215,20.0,1.0984991889981945,19.174001725098815,191740.01725098817,28.8893794302423,-0.5282663546885102,6/12,AUDUSD,4H,OOS,0.0
AUDUSD_Hybrid_IS,181,27.624309392265197,2.35931351547336,295.54639798687316,2955463.9798687315,14.072934719239639,-0.0305227942607747,2/2,AUDUSD,Hybrid,IS,0.0
AUDUSD_Hybrid_OOS,1209,27.129859387923904,1.8560987098644,63226.51608604144,632265160.8604144,26.450576268073245,-0.12129981818150598,12/12,AUDUSD,Hybrid,OOS,0.0
US30_1H_IS,157,24.203821656050955,1.4212365391142758,93.64019933597928,936401.9933597927,19.906906598683687,-0.2912732784506287,1/2,US30,1H,IS,0.8
US30_1H_OOS,720,20.416666666666668,0.9342036116122622,-43.713163008004855,-437131.6300800486,71.6294691379653,-0.6477175729584326,5/10,US30,1H,OOS,0.8
US30_4H_IS,87,24.137931034482758,1.463527121644053,42.732275068534534,427322.7506853454,8.107998191526848,-0.276971650451154,2/2,US30,4H,IS,0.8
US30_4H_OOS,155,28.387096774193548,1.227089993889135,43.93855440371474,439385.5440371474,17.685554251096946,-0.29972847143885956,6/11,US30,4H,OOS,0.8
US30_Hybrid_IS,217,24.88479262672811,1.408655529375642,161.6922889359227,1616922.889359227,16.05942149062579,-0.2843924991372546,1/2,US30,Hybrid,IS,0.8
US30_Hybrid_OOS,836,21.5311004784689,0.9726192775201333,-24.95859614941124,-249585.9614941124,70.29247004995179,-0.5914681875998336,6/11,US30,Hybrid,OOS,0.8
SPX500_1H_IS,136,27.941176470588236,1.8519578882698906,175.82230684562865,1758223.0684562866,15.72691833503486,-0.10968360288225171,2/2,SPX500,1H,IS,0.1
SPX500_1H_OOS,743,18.304172274562582,0.9132069449276496,-64.13903067270525,-641390.3067270524,79.45024423312067,-0.7115619394276826,5/11,SPX500,1H,OOS,0.1
SPX500_4H_IS,87,19.54022988505747,1.4019996114030964,33.07806944657019,330780.69446570193,16.467201243617914,-0.378490657042757,1/2,SPX500,4H,IS,0.1
