pair,variant,period,n,wr,pf,mdd,kelly,monthly_plus,pass
XAUUSD,v77,IS,75,38.7,3.09,6.9,0.188,2/2,True
XAUUSD,v77,OOS,555,32.3,2.03,15.6,-0.012,12/12,False
XAUUSD,v78A,IS,74,37.8,2.96,6.9,0.169,2/2,True
XAUUSD,v78A,OOS,512,32.0,2.0,15.6,-0.02,12/12,False
XAUUSD,v78B,IS,43,30.2,2.16,5.9,-0.021,2/2,False
XAUUSD,v78B,OOS,346,33.5,2.2,12.5,0.033,12/12,True
XAUUSD,v78C,IS,33,24.2,1.87,4.0,-0.163,2/2,False
XAUUSD,v78C,OOS,268,31.3,2.37,10.6,0.024,12/12,True
XAUUSD,v78D,IS,23,30.4,1.99,4.0,-0.045,2/2,False
XAUUSD,v78D,OOS,180,31.7,2.5,6.9,0.043,12/12,True
AUDUSD,v77,IS,159,29.6,2.71,14.1,0.036,2/2,True
AUDUSD,v77,OOS,1058,28.4,1.95,21.7,-0.082,12/12,False
AUDUSD,v78A,IS,158,29.7,2.76,14.1,0.043,2/2,True
AUDUSD,v78A,OOS,1053,28.6,1.95,21.7,-0.081,12/12,False
AUDUSD,v78B,IS,91,33.0,2.55,8.9,0.067,2/2,True
AUDUSD,v78B,OOS,648,27.8,1.84,18.9,-0.116,12/12,False
AUDUSD,v78C,IS,65,33.8,2.58,11.4,0.082,2/2,True
AUDUSD,v78C,OOS,499,24.2,1.57,25.9,-0.24,11/12,False
AUDUSD,v78D,IS,45,33.3,2.88,4.0,0.102,2/2,True
AUDUSD,v78D,OOS,358,23.5,1.59,29.8,-0.246,10/12,False
EURUSD,v77,IS,145,24.1,1.2,18.4,-0.389,1/2,False
EURUSD,v77,OOS,1126,27.7,1.78,22.7,-0.129,12/12,False
EURUSD,v78A,IS,144,24.3,1.2,19.2,-0.389,1/2,False
EURUSD,v78A,OOS,1124,27.8,1.77,22.7,-0.13,12/12,False
EURUSD,v78B,IS,80,28.7,1.41,13.7,-0.219,1/2,False
EURUSD,v78B,OOS,655,27.2,1.73,19.7,-0.149,12/12,False
EURUSD,v78C,IS,66,24.2,1.2,16.3,-0.388,1/2,False
EURUSD,v78C,OOS,517,26.7,1.66,20.7,-0.176,11/12,False
EURUSD,v78D,IS,53,22.6,1.06,16.6,-0.502,1/2,False
EURUSD,v78D,OOS,361,28.0,1.59,22.4,-0.174,11/12,False
GBPUSD,v77,IS,151,32.5,2.18,9.7,0.014,2/2,True
GBPUSD,v77,OOS,1101,28.7,1.73,17.2,-0.125,12/12,False
GBPUSD,v78A,IS,150,32.7,2.17,9.7,0.016,2/2,True
GBPUSD,v78A,OOS,1095,28.7,1.73,17.2,-0.126,12/12,False
GBPUSD,v78B,IS,84,31.0,2.26,6.9,0.003,2/2,True
GBPUSD,v78B,OOS,618,28.6,1.95,14.2,-0.08,11/12,False
GBPUSD,v78C,IS,69,31.9,2.04,6.9,-0.015,2/2,False
GBPUSD,v78C,OOS,498,27.9,1.87,15.8,-0.107,11/12,False
GBPUSD,v78D,IS,52,36.5,2.09,6.0,0.062,2/2,True
GBPUSD,v78D,OOS,357,26.6,1.65,17.3,-0.178,10/12,False
SPX500,v77,IS,137,27.7,1.8,15.7,-0.123,2/2,False
SPX500,v77,OOS,746,18.4,0.92,79.5,-0.708,5/11,False
SPX500,v78A,IS,134,26.1,1.75,15.7,-0.161,2/2,False
SPX500,v78A,OOS,733,18.4,0.92,79.8,-0.704,6/11,False
SPX500,v78B,IS,92,26.1,1.62,20.0,-0.196,1/2,False
SPX500,v78B,OOS,548,19.2,0.91,70.1,-0.698,5/11,False
SPX500,v78C,IS,72,25.0,1.71,16.4,-0.189,1/2,False
SPX500,v78C,OOS,371,19.7,0.98,45.7,-0.625,5/11,False
SPX500,v78D,IS,54,24.1,1.71,14.9,-0.204,1/2,False
SPX500,v78D,OOS,279,18.3,0.93,41.9,-0.694,5/11,False
US30,v77,IS,160,25.0,1.45,19.9,-0.269,1/2,False
US30,v77,OOS,720,20.4,0.93,71.6,-0.648,5/10,False
US30,v78A,IS,154,25.3,1.46,19.1,-0.258,1/2,False
US30,v78A,OOS,709,20.6,0.95,71.2,-0.627,5/10,False
US30,v78B,IS,115,27.0,1.62,12.7,-0.182,1/2,False
US30,v78B,OOS,508,21.1,0.94,57.1,-0.627,5/10,False
US30,v78C,IS,80,32.5,2.15,8.9,0.011,2/2,True
US30,v78C,OOS,327,20.5,0.98,40.2,-0.609,5/10,False
US30,v78D,IS,58,36.2,2.38,7.9,0.094,2/2,True
US30,v78D,OOS,252,18.3,0.9,49.3,-0.73,5/10,False
NAS100,v77,IS,124,20.2,0.79,41.3,-0.809,0/2,False
NAS100,v77,OOS,547,24.5,0.89,86.4,-0.601,4/11,False
NAS100,v78A,IS,109,19.3,0.7,43.7,-0.969,0/2,False
NAS100,v78A,OOS,506,24.1,0.86,87.4,-0.641,4/11,False
NAS100,v78B,IS,75,18.7,0.59,42.3,-1.192,0/2,False
NAS100,v78B,OOS,353,25.2,0.86,72.7,-0.613,4/11,False
NAS100,v78C,IS,50,16.0,0.56,31.6,-1.34,0/2,False
NAS100,v78C,OOS,266,26.7,0.99,39.7,-0.474,4/11,False
NAS100,v78D,IS,38,15.8,0.48,30.7,-1.611,0/2,False
NAS100,v78D,OOS,202,25.2,0.89,47.6,-0.591,4/11,False
