pair,variant,period,n,wr,pf,mdd,kelly,monthly_plus
EURUSD,v77,IS,92,27.2,1.3,20.4,-0.288,1/2
EURUSD,v77,OOS,608,27.0,1.83,15.5,-0.128,12/12
EURUSD,v79A,IS,52,30.8,1.38,16.3,-0.195,1/2
EURUSD,v79A,OOS,336,25.0,1.58,17.6,-0.223,10/12
EURUSD,v79B,IS,37,37.8,1.5,15.8,-0.035,1/2
EURUSD,v79B,OOS,392,26.5,1.75,18.3,-0.154,12/12
EURUSD,v79C,IS,53,28.3,1.13,20.6,-0.354,1/2
EURUSD,v79C,OOS,371,28.8,1.82,12.9,-0.102,12/12
EURUSD,v79D,IS,92,27.2,1.49,13.7,-0.216,2/2
EURUSD,v79D,OOS,608,27.0,1.81,12.2,-0.135,12/12
EURUSD,v79BC,IS,28,28.6,1.07,14.1,-0.384,1/2
EURUSD,v79BC,OOS,263,29.3,1.87,15.8,-0.086,12/12
EURUSD,v79ABC,IS,19,31.6,1.52,12.3,-0.135,1/2
EURUSD,v79ABC,OOS,176,27.8,1.73,14.3,-0.139,10/12
GBPUSD,v77,IS,91,35.2,2.38,9.7,0.08,2/2
GBPUSD,v77,OOS,568,29.2,2.01,15.0,-0.06,11/12
GBPUSD,v79A,IS,55,36.4,2.42,6.0,0.101,2/2
GBPUSD,v79A,OOS,345,28.7,1.99,16.8,-0.071,11/12
GBPUSD,v79B,IS,54,29.6,1.55,14.3,-0.158,2/2
GBPUSD,v79B,OOS,353,27.8,1.83,16.5,-0.116,10/12
GBPUSD,v79C,IS,43,32.6,2.1,6.0,0.005,2/2
GBPUSD,v79C,OOS,340,27.1,2.04,19.8,-0.086,10/12
GBPUSD,v79D,IS,91,35.2,2.38,8.3,0.08,2/2
GBPUSD,v79D,OOS,568,29.2,1.94,10.6,-0.072,10/12
GBPUSD,v79BC,IS,29,27.6,1.47,6.0,-0.216,2/2
GBPUSD,v79BC,OOS,242,30.2,2.17,16.5,-0.019,9/12
GBPUSD,v79ABC,IS,25,24.0,1.44,6.0,-0.288,2/2
GBPUSD,v79ABC,OOS,186,31.7,2.1,15.9,-0.007,9/12
AUDUSD,v77,IS,98,34.7,2.75,8.7,0.11,2/2
AUDUSD,v77,OOS,624,28.8,1.95,21.7,-0.077,12/12
AUDUSD,v79A,IS,61,26.2,1.99,8.7,-0.109,1/2
AUDUSD,v79A,OOS,383,26.9,1.79,23.2,-0.14,10/12
AUDUSD,v79B,IS,39,30.8,2.68,4.0,0.049,2/2
AUDUSD,v79B,OOS,325,27.1,1.81,14.6,-0.132,9/12
AUDUSD,v79C,IS,64,26.6,1.81,10.8,-0.14,2/2
AUDUSD,v79C,OOS,347,26.8,1.78,21.5,-0.144,8/12
AUDUSD,v79D,IS,98,34.7,2.68,7.8,0.103,2/2
AUDUSD,v79D,OOS,624,28.8,1.87,14.4,-0.091,12/12
AUDUSD,v79BC,IS,30,26.7,2.01,6.8,-0.099,2/2
AUDUSD,v79BC,OOS,236,28.0,1.9,19.4,-0.099,8/12
AUDUSD,v79ABC,IS,24,29.2,1.82,6.8,-0.098,1/2
AUDUSD,v79ABC,OOS,190,28.9,1.85,20.5,-0.095,6/12
XAUUSD,v77,IS,75,38.7,3.09,6.9,0.188,2/2
XAUUSD,v77,OOS,555,32.3,2.03,15.6,-0.012,12/12
XAUUSD,v79A,IS,58,36.2,2.57,6.9,0.114,2/2
XAUUSD,v79A,OOS,400,32.2,2.16,18.4,0.009,12/12
XAUUSD,v79B,IS,63,39.7,3.09,6.9,0.201,2/2
XAUUSD,v79B,OOS,382,33.0,1.9,17.1,-0.023,10/12
XAUUSD,v79C,IS,58,37.9,2.98,7.9,0.171,2/2
XAUUSD,v79C,OOS,352,33.2,2.11,13.4,0.016,12/12
XAUUSD,v79D,IS,75,38.7,2.99,6.4,0.181,2/2
XAUUSD,v79D,OOS,555,32.3,2.03,10.7,-0.012,12/12
XAUUSD,v79BC,IS,49,40.8,3.39,7.9,0.234,2/2
XAUUSD,v79BC,OOS,278,33.1,1.87,16.6,-0.028,11/12
XAUUSD,v79ABC,IS,43,37.2,3.16,6.9,0.173,2/2
XAUUSD,v79ABC,OOS,234,32.5,1.85,16.9,-0.04,10/12
US30,v77,IS,37,37.8,3.17,6.0,0.182,2/2
US30,v77,OOS,119,21.8,1.0,22.4,-0.566,5/10
US30,v79A,IS,23,43.5,5.09,4.0,0.324,2/2
US30,v79A,OOS,73,23.3,1.06,14.0,-0.49,5/10
US30,v79B,IS,36,38.9,3.59,6.0,0.218,2/2
US30,v79B,OOS,76,19.7,0.95,23.1,-0.649,3/10
US30,v79C,IS,17,41.2,4.82,3.1,0.29,2/2
US30,v79C,OOS,65,13.8,0.67,28.6,-1.156,2/10
US30,v79D,IS,37,37.8,3.05,6.0,0.174,2/2
US30,v79D,OOS,119,21.8,0.91,15.1,-0.64,5/10
US30,v79BC,IS,16,43.8,7.26,2.1,0.36,2/2
US30,v79BC,OOS,51,15.7,0.77,22.2,-0.941,3/10
US30,v79ABC,IS,13,53.8,13.56,2.0,0.504,2/2
US30,v79ABC,OOS,39,15.4,0.69,16.5,-1.073,3/9
SPX500,v77,IS,32,43.8,2.85,5.9,0.24,2/2
SPX500,v77,OOS,142,18.3,1.0,18.4,-0.638,7/11
SPX500,v79A,IS,20,25.0,1.46,6.8,-0.263,1/2
SPX500,v79A,OOS,103,16.5,0.91,27.4,-0.75,4/11
SPX500,v79B,IS,29,48.3,3.09,5.9,0.316,2/2
SPX500,v79B,OOS,80,21.2,1.27,14.5,-0.409,8/11
SPX500,v79C,IS,17,29.4,1.84,8.7,-0.09,1/2
SPX500,v79C,OOS,90,20.0,1.0,17.6,-0.596,5/11
SPX500,v79D,IS,32,43.8,2.76,5.9,0.234,2/2
SPX500,v79D,OOS,142,18.3,0.97,14.2,-0.659,7/11
