symbol,period,n,wr,pf,mdd_pct,kelly,monthly_plus
EURUSD,IS,78,55.1,1.25,17.4,0.192,1/3
EURUSD,OOS,680,63.8,1.91,17.7,0.449,11/12
EURUSD,FULL,758,62.9,1.9,17.7,0.435,12/14
GBPUSD,IS,94,67.0,1.86,13.1,0.493,2/2
GBPUSD,OOS,692,65.0,1.81,21.7,0.457,12/12
GBPUSD,FULL,786,65.3,1.81,21.7,0.461,14/14
AUDUSD,IS,100,62.0,1.71,17.5,0.398,2/3
AUDUSD,OOS,623,64.7,2.18,22.1,0.485,12/12
AUDUSD,FULL,726,64.2,2.17,22.1,0.477,14/14
XAUUSD,IS,97,73.2,3.07,12.4,0.645,2/2
XAUUSD,OOS,462,73.2,3.08,11.5,0.645,12/12
XAUUSD,FULL,559,73.2,3.08,12.4,0.645,14/14
