fold,train_start,train_end,oos_start,oos_end,pf_is,wr_is,n_is,pf_oos,wr_oos,n_oos,mdd_oos,passed
0,2019-01-02,2021-01-02,2021-01-02,2022-01-02,1.9726,50.0,12,0.0668,33.33,3,5.45,False
1,2019-01-02,2021-07-02,2021-07-02,2022-07-02,2.0063,53.33,15,0.4709,25.0,4,1.57,False
2,2019-01-02,2022-01-02,2022-01-02,2023-01-02,1.5722,47.06,17,0.329,50.0,4,0.88,False
3,2019-01-02,2022-07-02,2022-07-02,2023-07-02,1.5184,45.0,20,2.2068,40.0,5,5.59,False
4,2019-01-02,2023-01-02,2023-01-02,2024-01-02,1.5085,47.83,23,0.06,20.0,5,6.82,False
5,2019-01-02,2023-07-02,2023-07-02,2024-07-02,1.9404,46.15,26,2.56,66.67,6,5.0,True
6,2019-01-02,2024-01-02,2024-01-02,2025-01-02,1.8648,44.83,29,4.2204,75.0,4,5.0,False
7,2019-01-02,2024-07-02,2024-07-02,2025-07-02,1.9849,46.88,32,2.1964,57.14,7,0.73,True
8,2019-01-02,2025-01-02,2025-01-02,2026-01-02,2.2771,50.0,34,15.3229,60.0,5,0.77,True
9,2019-01-02,2025-07-02,2025-07-02,2026-02-27,2.2635,50.0,38,4.123,66.67,6,5.0,True
10,2019-01-02,2026-01-02,2026-01-02,2026-02-27,3.0082,51.22,41,0.0,0.0,0,0.0,False
