name,htf_filter,htf_lookback,htf_zone_atr,sl_atr,total_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_return_pct,rr_ratio,passed
PA1_TightSL_NoFilter,なし,-,-,-,22,40.91,1.0304,0.28,0.02,1.49,False
HTF_lb20_z1.0_sl1.0_tp3.0,あり,20,1.0,1.0,14,21.43,0.3465,0.5,-0.39,1.27,False
HTF_lb20_z1.5_sl1.0_tp3.0,あり,20,1.5,1.0,17,29.41,0.7631,0.39,-0.16,1.83,False
HTF_lb20_z2.0_sl1.0_tp3.0,あり,20,2.0,1.0,18,27.78,0.6527,0.39,-0.27,1.7,False
HTF_lb30_z1.0_sl1.0_tp3.0,あり,30,1.0,1.0,12,25.0,0.3919,0.43,-0.32,1.18,False
HTF_lb30_z1.5_sl1.0_tp3.0,あり,30,1.5,1.0,14,28.57,0.7416,0.32,-0.16,1.85,False
HTF_lb30_z2.0_sl1.0_tp3.0,あり,30,2.0,1.0,15,26.67,0.6239,0.35,-0.27,1.72,False
HTF_lb20_z1.5_sl1.5_tp3.0,あり,20,1.5,1.5,17,29.41,0.7631,0.39,-0.16,1.83,False
HTF_lb20_z1.5_sl1.0_tp4.0,あり,20,1.5,1.0,17,29.41,0.7631,0.39,-0.16,1.83,False
HTF_lb30_z1.5_sl1.0_tp4.0,あり,30,1.5,1.0,14,28.57,0.7416,0.32,-0.16,1.85,False
HTF_lb20_z1.0_sl1.0_tp4.0,あり,20,1.0,1.0,14,21.43,0.3465,0.5,-0.39,1.27,False
HTF_lb30_z1.0_sl1.0_tp4.0,あり,30,1.0,1.0,12,25.0,0.3919,0.43,-0.32,1.18,False
HTF_lb20_z2.0_sl1.0_tp4.0,あり,20,2.0,1.0,18,27.78,0.6527,0.39,-0.27,1.7,False
