"約定日時","取引区分","受渡日","約定番号","銘柄名","銘柄コード","限月","コールプット区分","権利行使価格","権利行使価格通貨","カバードワラント商品種別","売買区分","通貨","受渡通貨","市場","口座","信用区分","約定数量","約定単価","コンバージョンレート","手数料","手数料消費税","建単価","新規手数料","新規手数料消費税","管理費","名義書換料","金利","貸株料","品貸料","前日分値洗","経過利子（円貨）","経過利子（外貨）","経過日数（外債）","所得税（外債）","地方税（外債）","金利・価格調整額（CFD）","配当金調整額（CFD）","金利・価格調整額（くりっく株365）","配当金調整額（くりっく株365）","売建単価（くりっく365/くりっく株365）","買建単価（くりっく365/くりっく株365）","円貨スワップ損益","外貨スワップ損益","約定金額（円貨）","約定金額（外貨）","決済金額（円貨）","決済金額（外貨）","実現損益（円貨）","実現損益（外貨）","実現損益（円換算額）","受渡金額（円貨）","受渡金額（外貨）","備考"
"2025/09/18 20:20:07","入金","2025/09/19","","","","","","","","","","","日本円","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000","",""
"2025/09/18 20:38:33","証券振替出金（CFD口座へ）","2025/09/19","","","","","","","","","","","日本円","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-500000","",""
"2025/09/18 20:38:33","CFD振替入金（証券口座より）","2025/09/19","","","","","","","","","","","日本円","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000","",""
"2025/09/18 22:26:13","CFD新規","2025/09/18","0001","金スポット","","","","","","","買","","日本円","","","","10","3652.8","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","","","0","0.00","0","","","0","",""
"2025/09/18 22:35:05","CFD新規","2025/09/18","0021","金スポット","","","","","","","買","","日本円","","","","5","3646.11","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","","","0","0.00","0","","","0","",""
"2025/09/23 18:19:45","CFD新規","2025/09/23","0041","金スポット","","","","","","","売","","日本円","","","","1","3783.73","","0","0","0","0","0","","","","","","","","","","","","0","0","","","","","","","","","0","0.00","0","","","0","",""
"2025/09/23 18:20:47","CFD決済","2025/09/23","0061","金スポット","","","","","","","買","","日本円","","","","1","3783.27","147.690","0","0","3783.73","0","0","","","","","","","","","","","","0","0","","","","","","","","","67","0.46","67","","","67","",""
"2025/09/23 18:21:51","CFD決済","2025/09/23","0042","金スポット","","","","","","","売","","日本円","","","","0.3","3784.58","147.690","0","0","3652.8","0","0","","","","","","","","","","","","-69","0","","","","","","","","","5838","39.53","5769","","","5769","",""
"2025/09/23 18:21:53","CFD決済","2025/09/23","0081","金スポット","","","","","","","売","","日本円","","","","0.3","3784.43","147.690","0","0","3652.8","0","0","","","","","","","","","","","","-69","0","","","","","","","","","5832","39.49","5763","","","5763","",""
"2025/09/23 18:21:55","CFD決済","2025/09/23","0043","金スポット","","","","","","","売","","日本円","","","","0.4","3784.4","147.690","0","0","3652.8","0","0","","","","","","","","","","","","-92","0","","","","","","","","","7774","52.64","7682","","","7682","",""
